Child,Status
Weronika,nice
Nadja,naughty
Per,nice
Emilija,nice
Tormod,nice
Jørund,naughty
Christopher,naughty
Maiken,naughty
Angelina,naughty
Joakim,naughty
Osman,nice
Aline,naughty
Bent,nice
Amelia,nice
Andrzej,naughty
Nicole,naughty
Bo,nice
Mark,nice
Fred,nice
Thelma,naughty
Annlaug,naughty
Kyrre,nice
Bjørnar,nice
Jeppe,naughty
Jill,nice
Halldis,nice
Matheo,naughty
Frits,naughty
Johanes,nice
Rania,nice
Evy,nice
Ole,naughty
Anne,nice
Farhad,naughty
Irina,nice
Kitty,naughty
Hildur,nice
Benthe,naughty
Kristi,naughty
Azra,nice
Jenny,nice
Deborah,naughty
Amalie,naughty
Katarzyna,nice
Alfhild,nice
Elsie,naughty
Charlotte,nice
Venke,naughty
Damian,nice
Jørn,naughty
